control_id,area,component,evidence_file,severity,EV,AC,AR,PR,UI,VC,VI,VA,RC
ANTISPAM-001,Antispam,SpamAssassin,antispam/*/service_status.txt,High,N,L,N,N,N,N,L,L,S
ANTISPAM-002,Antispam,SpamAssassin,antispam/*/version.txt,High,N,H,N,N,N,L,L,L,M
ANTISPAM-003,Antispam,SpamAssassin,milter/milter_config.txt,High,N,L,N,N,N,N,L,L,M
ANTISPAM-004,Antispam,SpamAssassin,antispam/spamassassin/config_files/local.cf,Medium,N,H,P,N,N,N,L,L,S
ANTISPAM-005,Antispam,SpamAssassin,antispam/*/config_files,Medium,N,H,P,N,N,N,L,N,S
ANTISPAM-006,Antispam,SpamAssassin,antispam/*/config_files,Medium,L,H,P,L,N,N,L,N,S
ANTISPAM-007,Antispam,SpamAssassin,antispam/*/config_files,High,N,L,N,N,N,N,L,L,S
ANTISPAM-008,Antispam,SpamAssassin,antispam/spamassassin/config_lint.txt,High,L,L,N,H,N,N,L,H,M
ANTIVIRUS-001,Antivirus,ClamAV,antivirus/clamav/service_status.txt,Critical,N,L,N,N,P,H,H,L,S
ANTIVIRUS-002,Antivirus,ClamAV,antivirus/clamav/version.txt,High,N,H,N,N,N,L,L,L,M
ANTIVIRUS-003,Antivirus,ClamAV,antivirus/clamav/database_info.txt,Critical,N,L,N,N,N,H,H,L,S
ANTIVIRUS-004,Antivirus,ClamAV,antivirus/clamav/service_status.txt,Critical,N,L,N,N,N,H,H,L,S
ANTIVIRUS-005,Antivirus,ClamAV,milter/milter_config.txt,High,N,L,N,N,N,H,H,N,M
ANTIVIRUS-006,Antivirus,ClamAV,antivirus/clamav/service_status.txt,High,L,L,N,H,N,N,N,H,S
ANTIVIRUS-007,Antivirus,ClamAV,antivirus/clamav/database_info.txt,High,L,H,P,H,N,N,L,L,S
AUTH-001,Authentication,SASL,postfix/config_active/sasl_config.txt,High,N,L,N,N,N,H,H,N,M
AUTH-002,Authentication,SASL,postfix/config_active/postconf_n.txt,High,N,L,N,N,N,H,H,N,S
AUTH-003,Authentication,SASL,postfix/config_active/postconf_n.txt,High,N,L,N,N,N,H,H,N,T
AUTH-004,Authentication,SASL,postfix/config_active/postconf_n.txt,Medium,N,L,N,N,N,H,L,N,T
AUTH-005,Authentication,SASL,postfix/config_active/postconf_n.txt,Critical,N,L,N,N,N,H,N,N,S
AUTH-006,Authentication,SASL,dovecot/config_active/auth_config.txt,High,L,L,N,H,N,H,H,L,M
AUTH-007,Authentication,SASL,dovecot/config_active/doveconf_n.txt,High,N,L,N,N,N,H,N,N,S
AUTH-008,Authentication,SASL,dovecot/config_active/auth_config.txt,Critical,N,L,N,N,N,H,N,N,S
AUTH-009,Authentication,SASL,dovecot/config_active/doveconf_n.txt,High,L,H,N,H,N,L,N,N,S
AUTH-010,Authentication,SASL,dovecot/config_active/doveconf_P.txt,Medium,L,H,P,H,N,L,L,N,M
CYRUS-001,MDA,Cyrus,cyrus/version.txt,High,N,H,N,N,N,L,L,L,M
CYRUS-002,MDA,Cyrus,cyrus/config_files/imapd.conf,Critical,N,L,N,N,N,H,H,N,S
CYRUS-003,MDA,Cyrus,cyrus/config_files/imapd.conf,Critical,L,L,N,H,N,H,H,N,S
CYRUS-004,MDA,Cyrus,cyrus/config_files/imapd.conf,Critical,N,L,N,N,N,H,N,N,S
CYRUS-005,MDA,Cyrus,cyrus/config_files/imapd.conf,High,N,L,N,N,N,H,L,N,S
CYRUS-006,MDA,Cyrus,cyrus/config_files/imapd.conf,High,L,L,N,H,N,H,H,N,M
CYRUS-007,MDA,Cyrus,cyrus/config_files/imapd.conf,Medium,L,H,P,H,N,N,L,N,M
CYRUS-008,MDA,Cyrus,cyrus/config_files/imapd.conf,Medium,L,H,P,L,N,N,N,L,S
CYRUS-009,MDA,Cyrus,cyrus/config_files/imapd.conf,Medium,L,H,N,H,N,N,L,N,S
CYRUS-010,MDA,Cyrus,cyrus/config_files/imapd.conf,Low,N,H,P,N,N,L,N,N,T
CYRUS-011,MDA,Cyrus,cyrus/config_files/imapd.conf,High,L,L,N,H,N,H,H,L,S
CYRUS-012,MDA,Cyrus,system/services.txt,Critical,L,L,N,H,N,N,N,H,S
