control_id,control_name,description,evidence_file,severity,EV,AC,AR,PR,UI,VC,VI,VA,RC
CYRUS-001,Supported version,Verify Cyrus is a supported version,cyrus/version.txt,High,N,H,N,N,N,L,L,L,M
CYRUS-002,tls_cert_file defined,TLS certificate configured,cyrus/config_files/imapd.conf,Critical,N,L,N,N,N,H,H,N,S
CYRUS-003,tls_key_file defined,TLS private key configured,cyrus/config_files/imapd.conf,Critical,L,L,N,H,N,H,H,N,S
CYRUS-004,allowplaintext no,Plaintext authentication disabled,cyrus/config_files/imapd.conf,Critical,N,L,N,N,N,H,N,N,S
CYRUS-005,tls_min_version,Minimum TLS version configured,cyrus/config_files/imapd.conf,High,N,L,N,N,N,H,L,N,S
CYRUS-006,sasl_pwcheck_method,Secure password verification method,cyrus/config_files/imapd.conf,High,L,L,N,H,N,H,H,N,M
CYRUS-007,virtdomains configured,Multi-domain if needed,cyrus/config_files/imapd.conf,Medium,L,H,P,H,N,N,L,N,M
CYRUS-008,quotawarn configured,User quota warnings active,cyrus/config_files/imapd.conf,Medium,L,H,P,L,N,N,N,L,S
CYRUS-009,syslog_facility,Logging via syslog configured,cyrus/config_files/imapd.conf,Medium,L,H,N,H,N,N,L,N,S
CYRUS-010,servername hidden,Server name does not reveal info,cyrus/config_files/imapd.conf,Low,N,H,P,N,N,L,N,N,T
CYRUS-011,admins restrictive,Minimal admin list,cyrus/config_files/imapd.conf,High,L,L,N,H,N,H,H,L,S
CYRUS-012,Service active,Cyrus must be running,system/services.txt,Critical,L,L,N,H,N,N,N,H,S
CYRUS-013,partition-default secure,Data partition on appropriate path,cyrus/config_files/imapd.conf,Medium,L,H,N,H,N,L,L,L,M
CYRUS-014,lmtp_downcase_rcpt,LMTP address normalization,cyrus/config_files/imapd.conf,Low,L,H,P,L,N,N,L,N,T
