control_id,control_name,description,evidence_file,severity,EV,AC,AR,PR,UI,VC,VI,VA,RC
POSTFIX-001,Supported version,Verify Postfix is a supported version and not EOL,postfix/version.txt,High,N,H,N,N,N,L,L,L,M
POSTFIX-002,Banner hides OS,smtpd_banner should not reveal OS or software version,postfix/config_active/postconf_n.txt,Medium,N,H,P,N,N,L,N,N,T
POSTFIX-003,mynetworks restrictive,mynetworks must contain only authorized relay IPs,postfix/config_active/postconf_n.txt,Critical,N,L,N,N,N,N,H,H,S
POSTFIX-004,smtpd_relay_restrictions,Verify relay restrictions configuration,postfix/config_active/postconf_n.txt,Critical,N,L,N,N,N,N,H,H,S
POSTFIX-005,smtpd_recipient_restrictions,Recipient restrictions present for antispam,postfix/config_active/postconf_n.txt,High,N,L,N,N,N,N,L,L,S
POSTFIX-006,smtpd_helo_required,HELO/EHLO mandatory for SMTP connections,postfix/config_active/postconf_n.txt,Medium,N,L,N,N,N,N,L,N,T
POSTFIX-007,strict_rfc821_envelopes,Strict RFC 821 envelopes to reduce spam,postfix/config_active/postconf_n.txt,Low,N,H,P,N,N,N,L,N,T
POSTFIX-008,disable_vrfy_command,VRFY command disabled to prevent enumeration,postfix/config_active/postconf_n.txt,Medium,N,L,N,N,N,L,N,N,T
POSTFIX-009,smtpd_delay_reject,Delay reject to gather more spammer info,postfix/config_active/postconf_n.txt,Low,N,H,P,N,N,N,N,L,T
POSTFIX-010,message_size_limit,Message size limit defined,postfix/config_active/postconf_n.txt,Medium,N,L,N,N,N,N,N,H,T
POSTFIX-011,mailbox_size_limit,Mailbox size limit defined,postfix/config_active/postconf_n.txt,Medium,L,L,N,L,N,N,N,H,T
POSTFIX-012,smtpd_client_restrictions,Client-level restrictions present,postfix/config_active/postconf_n.txt,Medium,N,L,N,N,N,N,L,L,S
POSTFIX-013,smtpd_error_sleep_time,Error delay to slow down brute force,postfix/config_active/postconf_n.txt,Low,N,H,P,N,N,N,N,L,T
POSTFIX-014,smtpd_hard_error_limit,Error limit for automatic disconnect,postfix/config_active/postconf_n.txt,Low,N,H,P,N,N,N,N,L,T
POSTFIX-015,Queue not excessive,Verify queue is not full (indicates problems),postfix/queue_status.txt,Medium,L,H,P,L,N,N,N,H,M
POSTFIX-016,Service active,Postfix must be running,system/services.txt,Critical,L,L,N,H,N,N,N,H,S
POSTFIX-017,Config lint OK,postfix check should report no errors,postfix/config_lint.txt,High,L,L,N,H,N,N,L,H,M
POSTFIX-018,Submission on 587,Port 587 with authentication for clients,postfix/config_active/master_cf_active.txt,High,N,L,N,N,N,L,H,N,M
