control_id,control_name,description,evidence_file,severity,EV,AC,AR,PR,UI,VC,VI,VA,RC
AUTH-001,SASL configurato,SASL authentication framework attivo,postfix/config_active/sasl_config.txt,High,N,L,N,N,N,H,H,N,M
AUTH-002,smtpd_sasl_auth_enable,Autenticazione SASL abilitata per submission,postfix/config_active/postconf_n.txt,High,N,L,N,N,N,H,H,N,S
AUTH-003,sasl_security_options,noanonymous impostato per SASL,postfix/config_active/postconf_n.txt,High,N,L,N,N,N,H,H,N,T
AUTH-004,sasl_tls_security_options,Opzioni SASL specifiche per TLS,postfix/config_active/postconf_n.txt,Medium,N,L,N,N,N,H,L,N,T
AUTH-005,smtpd_tls_auth_only,Auth solo su connessioni TLS,postfix/config_active/postconf_n.txt,Critical,N,L,N,N,N,H,N,N,S
AUTH-006,Backend auth configurato,Backend autenticazione definito e funzionante,dovecot/config_active/auth_config.txt,High,L,L,N,H,N,H,H,L,M
AUTH-007,auth_mechanisms Dovecot,Meccanismi auth appropriati configurati,dovecot/config_active/doveconf_n.txt,High,N,L,N,N,N,H,N,N,S
AUTH-008,No PLAIN senza TLS,PLAIN/LOGIN solo con TLS attivo,dovecot/config_active/auth_config.txt,Critical,N,L,N,N,N,H,N,N,S
AUTH-009,Auth failure logging,Log tentativi autenticazione falliti,dovecot/config_active/doveconf_n.txt,High,L,H,N,H,N,L,N,N,S
AUTH-010,auth_policy configurato,Policy service per auth se disponibile,dovecot/config_active/doveconf_P.txt,Medium,L,H,P,H,N,L,L,N,M
