control_id,control_name,description,evidence_file,severity,EV,AC,AR,PR,UI,VC,VI,VA,RC
EXIM-001,Versione supportata,Verifica che Exim sia una versione supportata,exim/version.txt,High,N,H,N,N,N,L,L,L,M
EXIM-002,Banner non rivela versione,smtp_banner non deve rivelare info sensibili,exim/config_active/exim_bP.txt,Medium,N,H,P,N,N,L,N,N,T
EXIM-003,host_lookup configurato,Risoluzione DNS per hostname client,exim/config_active/exim_bP.txt,Medium,N,H,P,N,N,N,L,N,S
EXIM-004,acl_smtp_rcpt definito,ACL per RCPT TO obbligatoria,exim/security/acl_summary.txt,Critical,N,L,N,N,N,N,H,H,M
EXIM-005,acl_smtp_data definito,ACL per DATA phase per content filtering,exim/security/acl_summary.txt,High,N,L,N,N,N,L,H,L,M
EXIM-006,No relay aperto,verify = recipient deve bloccare relay non autorizzato,exim/security/acl_summary.txt,Critical,N,L,N,N,N,N,H,H,M
EXIM-007,HELO/EHLO verificato,Verifica HELO in ACL per ridurre spam,exim/security/acl_summary.txt,Medium,N,L,N,N,N,N,L,N,S
EXIM-008,message_size_limit,Limite dimensione messaggi configurato,exim/config_active/exim_bP.txt,Medium,N,L,N,N,N,N,N,H,T
EXIM-009,smtp_accept_max,Limite connessioni simultanee ragionevole,exim/security/ratelimit_config.txt,Medium,N,L,N,N,N,N,N,H,T
EXIM-010,smtp_accept_max_per_host,Limite connessioni per host per DoS prevention,exim/security/ratelimit_config.txt,Medium,N,L,N,N,N,N,N,H,T
EXIM-011,ACL rate limiting,Rate limiting in ACL per abuse prevention,exim/security/ratelimit_config.txt,High,N,L,N,N,N,N,L,H,M
EXIM-012,DKIM signing configurato,Firma DKIM per email in uscita,exim/security/dkim_config.txt,High,N,H,P,N,N,N,H,N,M
EXIM-013,SPF check in ACL,Verifica SPF per email in entrata,exim/security/spf_config.txt,High,N,L,N,N,N,N,H,N,M
EXIM-014,av_scanner configurato,Integrazione antivirus ClamAV,exim/security/content_scanning.txt,High,N,L,N,N,N,H,H,N,M
EXIM-015,spamd_address configurato,Integrazione SpamAssassin,exim/security/content_scanning.txt,High,N,L,N,N,N,N,L,L,M
EXIM-016,Coda non eccessiva,Verifica che la coda non sia piena,exim/queue_status.txt,Medium,L,H,P,L,N,N,N,H,M
EXIM-017,Servizio attivo,Exim deve essere in esecuzione,system/services.txt,Critical,L,L,N,H,N,N,N,H,S
EXIM-018,Config test OK,exim -bV non deve riportare errori config,exim/config_test.txt,High,L,L,N,H,N,N,L,H,M
